;;;TOTAL;Trail La Capitana 250;Sonrisa de Rafa 500;Trail Álora 1000;Sierra Blaca 1000;Sierra Elvira 1000;Sierra Morena 250;Lújar 250;Montellano 500;Dúrcal 500;Ubrique 250;Jubrique 250;Mágina 250;Pinsapo 500;Los Tajos 1000;Ruta agua 1000;Casares 250;Camp Esp Trail 2000;Cam Esp CxM 2000;Alpandeire 250;Zegama 2000;Igualeja 250;La Sagra 1000;Calar alto 250;Coripe 250;Zenete 250;OCC 2000;CCC 2000;Guajares 500;Gador Dalias 500;Benemerita 500;Cazorla Trails 1000;Chamizo 250;Macael 1000;Pamital 250;Almijara 500;Abades 1000;Jarapalos 2000;Faraján 500;;;;;;
ABSOLUTO MASCULINO
80;Antonio;Garcia Moreno;143;0;0;18;0;0;125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
81;Gonzalo;Canonico;143;0;0;21;0;10;0;0;0;0;0;0;0;35;0;0;0;0;0;75;0;2;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
82;Juan Ramon;Egea Resina;137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;87;0;0;;;;;;;;;;;;;;;;;
83;Manuel;Barea Gutierrez;135;0;0;0;0;0;0;0;125;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
84;Oscar;Martinez Cano;135;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;125;0;0;;;;;;;;;;;;;;;;;
85;Marcos;Asenjo Santana;134;0;0;0;0;0;0;0;0;0;0;125;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
86;Agustin ;Jimenez Serrano;133;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;125;0;0;2;0;2;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
87;Juan Jose;Rodriguez Perez;129;0;0;0;0;0;0;0;0;0;0;0;125;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;;;;;;;;;;;;;;;;;
88;Manuel ;Dominguez;125;125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
89;Jose Antonio;Tena Santos;125;0;0;0;125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
90;David;Jimenez Gutierrez;125;0;0;0;0;0;0;25;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
91;Jose Andres;Moreno Guerra;125;0;0;0;0;0;0;0;0;0;0;0;0;125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
92;Javier;Fernandez Cruz;119;87;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;5;0;2;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
93;Jesús;Hinojo Archidona;111;0;8;0;0;10;0;0;0;0;63;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
94;Antonio;Manjon Cabeza Torres;110;0;0;0;0;100;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
95;Francisco Tomas;Fernandez Segura;110;0;0;0;0;10;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
96;Jose;Ortiz Mariscal;109;0;9;0;0;10;0;0;75;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
97;Antonio;Garcia Ramirez;106;0;0;0;0;18;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;63;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
98;Daniel;Sarrion Garcia;105;0;0;0;100;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
99;Victor Manuel;Doblas Bernal;105;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;100;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
100;Francisco Javier;Arco Nogales;105;0;5;0;0;10;0;63;0;13;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;4;0;0;;;;;;;;;;;;;;;;;
101;Juan Jose;Nieto Moreno;103;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;3;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
102;Fali;Alcaida;100;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
103;Jeus;Nieto Navarrete;100;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
104;Hector;Guerra Garcia;100;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
105;Antonio Jesus;Lermos Bautista;100;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
106;Diego;Reina Romero;100;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
107;Miguel Ángel;Diaz Garcia;100;0;5;0;0;10;0;0;0;0;0;0;0;0;0;22;0;0;0;63;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
108;Jose Manuel;Flores Samaniego;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
109;Samuel;Sanchez Perea;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;;;;;;;;;;;;;;;;;
110;David;Cabrera Aguilar;99;0;5;0;0;0;0;0;14;0;13;0;0;0;0;0;0;0;0;2;0;2;0;0;63;0;0;0;;;;;;;;;;;;;;;;;
111;Jose Antonio;Garcia Navarro;97;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;87;0;0;0;;;;;;;;;;;;;;;;;
112;Hugo;Perez Villegas;96;0;0;0;0;0;0;87;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
113;David;Marquez Fernandez;91;0;0;16;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
114;Sebastian;Rodriguez Panal;88;0;0;0;0;0;0;0;0;0;75;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
115;Francisco;Gonzalez Carrera;87;0;0;0;0;0;0;0;0;0;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
116;Juan Jose;Servan Pacheco;87;0;0;0;0;0;0;0;0;0;0;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
117;Manuel Alonso;Morales  ;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
